point_code,hydric_system,municipality,ugrhi,latitude,longitude,parameters,samples,first_year,last_year
BAGU02700,Ribeirão Baguaçu - BAGU,ARAÇATUBA,19 - BAIXO TIÊTE,-21.221944444444443,-50.42861111111111,100,4062,2001,2026
BBRA02700,Braço do Ribeirão Santa Bárbara - UGRHI 19 - BBRA,BURITAMA,19 - BAIXO TIÊTE,-21.07777777777778,-50.11138888888889,32,529,2020,2024
FRUT02800,Córrego do Frutal - FRUT,GUARARAPES,19 - BAIXO TIÊTE,-21.20777777777778,-50.65138888888889,50,1957,2015,2026
LAGE02500,Ribeirão Lageado - LAGE,PENAPOLIS,19 - BAIXO TIÊTE,-21.43611111111111,-50.05638888888888,94,3942,2001,2026
MOIN02600,Ribeirão do Moinho - MOIN,ANDRADINA,19 - BAIXO TIÊTE,-20.99888888888889,-51.42194444444444,52,2362,2013,2026
PARN02100,Rio Paraná - PARN,CASTILHO,19 - BAIXO TIÊTE,-20.77777777777778,-51.629444444444445,58,4371,2000,2026
PARN02110,Rio Paraná - PARN,CASTILHO,19 - BAIXO TIÊTE,-20.797222222222224,-51.6275,22,400,2016,2020
PARN02400,Rio Paraná - PARN,PAULICEIA,20 - AGUAPEI,-21.26722222222222,-51.85583333333334,46,1164,2016,2026
PARN02740,Rio Paraná - PARN,PRESIDENTE EPITACIO,22 - PONTAL DO PARANAPANEMA,-21.84777777777777,-52.18583333333333,22,380,2016,2020
PARN02750,Rio Paraná - PARN,PRESIDENTE EPITACIO,22 - PONTAL DO PARANAPANEMA,-21.75,-52.1975,44,248,2000,2000
PARN02900,Rio Paraná - PARN,ROSANA,22 - PONTAL DO PARANAPANEMA,-22.476666666666667,-52.95722222222223,164,5358,2000,2026
PARN02910,Rio Paraná - PARN,ROSANA,22 - PONTAL DO PARANAPANEMA,-22.51833333333333,-53.00611111111111,22,401,2016,2020
TIET02900,Rio Tietê - TIET,ITAPURA,19 - BAIXO TIÊTE,-20.669444444444444,-51.44472222222222,66,2288,2014,2026
TITR02100,Reservatório de Três Irmãos - TITR,ARAÇATUBA,19 - BAIXO TIÊTE,-21.048333333333336,-50.4675,110,4609,2000,2026
