,Vazao afluente,Volume util,Turbidez,Solidos totais,OD,Fosforo total,Nitrato,Condutividade,Ferro total
Vazao afluente,1.0,-0.41163699522362135,0.2904226496933287,-0.024202059229513944,-0.17891586513520147,0.25868501087533224,0.15949654678821215,-0.11198096971865497,0.14873321984586746
Volume util,-0.41163699522362135,1.0,,,,,,,
Turbidez,0.2904226496933287,,1.0,-0.0901785103652433,-0.1854149647399623,0.24687830935967905,0.08307105199549089,-0.27761894401360254,0.6673964312276053
Solidos totais,-0.024202059229513944,,-0.0901785103652433,1.0,-0.003876360431724644,-0.002828000146795626,-0.21465938825567205,0.3596709861802341,0.17164500121208873
OD,-0.17891586513520147,,-0.1854149647399623,-0.003876360431724644,1.0,0.035182887035144515,0.022401143399975454,-0.2100755050021653,-0.07095666765575492
Fosforo total,0.25868501087533224,,0.24687830935967905,-0.002828000146795626,0.035182887035144515,1.0,-0.04362541260708548,-0.20143716329820022,0.29474081058527923
Nitrato,0.15949654678821215,,0.08307105199549089,-0.21465938825567205,0.022401143399975454,-0.04362541260708548,1.0,-0.027537730215435003,-0.22429747151238594
Condutividade,-0.11198096971865497,,-0.27761894401360254,0.3596709861802341,-0.2100755050021653,-0.20143716329820022,-0.027537730215435003,1.0,-0.10378691388388854
Ferro total,0.14873321984586746,,0.6673964312276053,0.17164500121208873,-0.07095666765575492,0.29474081058527923,-0.22429747151238594,-0.10378691388388854,1.0
