estado,ano,focos
DISTRITO FEDERAL,2000,24
DISTRITO FEDERAL,2001,118
DISTRITO FEDERAL,2002,264
DISTRITO FEDERAL,2003,267
DISTRITO FEDERAL,2004,439
DISTRITO FEDERAL,2005,243
DISTRITO FEDERAL,2006,158
DISTRITO FEDERAL,2007,784
DISTRITO FEDERAL,2008,255
DISTRITO FEDERAL,2009,100
DISTRITO FEDERAL,2010,1166
DISTRITO FEDERAL,2011,566
DISTRITO FEDERAL,2012,904
DISTRITO FEDERAL,2013,712
DISTRITO FEDERAL,2014,1436
DISTRITO FEDERAL,2015,1034
DISTRITO FEDERAL,2016,1184
DISTRITO FEDERAL,2017,1873
DISTRITO FEDERAL,2018,536
DISTRITO FEDERAL,2019,2515
DISTRITO FEDERAL,2020,1756
DISTRITO FEDERAL,2021,2377
DISTRITO FEDERAL,2022,3631
DISTRITO FEDERAL,2023,686
DISTRITO FEDERAL,2024,3746
DISTRITO FEDERAL,2025,2669
GOIÁS,2000,1097
GOIÁS,2001,2395
GOIÁS,2002,6188
GOIÁS,2003,6327
GOIÁS,2004,8027
GOIÁS,2005,4664
GOIÁS,2006,4272
GOIÁS,2007,10164
GOIÁS,2008,6535
GOIÁS,2009,4047
GOIÁS,2010,14980
GOIÁS,2011,8405
GOIÁS,2012,19401
GOIÁS,2013,15304
GOIÁS,2014,18742
GOIÁS,2015,20183
GOIÁS,2016,21905
GOIÁS,2017,32468
GOIÁS,2018,17670
GOIÁS,2019,52211
GOIÁS,2020,52851
GOIÁS,2021,38533
GOIÁS,2022,32801
GOIÁS,2023,27943
GOIÁS,2024,67522
GOIÁS,2025,32321
MATO GROSSO DO SUL,2000,227
MATO GROSSO DO SUL,2001,309
MATO GROSSO DO SUL,2002,795
MATO GROSSO DO SUL,2003,1114
MATO GROSSO DO SUL,2004,1280
MATO GROSSO DO SUL,2005,730
MATO GROSSO DO SUL,2006,883
MATO GROSSO DO SUL,2007,1079
MATO GROSSO DO SUL,2008,506
MATO GROSSO DO SUL,2009,438
MATO GROSSO DO SUL,2010,1181
MATO GROSSO DO SUL,2011,1276
MATO GROSSO DO SUL,2012,1245
MATO GROSSO DO SUL,2013,1771
MATO GROSSO DO SUL,2014,1174
MATO GROSSO DO SUL,2015,2315
MATO GROSSO DO SUL,2016,1273
MATO GROSSO DO SUL,2017,2241
MATO GROSSO DO SUL,2018,2189
MATO GROSSO DO SUL,2019,3164
MATO GROSSO DO SUL,2020,6862
MATO GROSSO DO SUL,2021,2247
MATO GROSSO DO SUL,2022,3030
MATO GROSSO DO SUL,2023,2155
MATO GROSSO DO SUL,2024,13001
MATO GROSSO DO SUL,2025,3878
MINAS GERAIS,2000,1334
MINAS GERAIS,2001,3147
MINAS GERAIS,2002,8664
MINAS GERAIS,2003,7676
MINAS GERAIS,2004,7613
MINAS GERAIS,2005,5821
MINAS GERAIS,2006,7443
MINAS GERAIS,2007,13213
MINAS GERAIS,2008,6220
MINAS GERAIS,2009,3793
MINAS GERAIS,2010,16875
MINAS GERAIS,2011,11605
MINAS GERAIS,2012,25814
MINAS GERAIS,2013,17343
MINAS GERAIS,2014,37977
MINAS GERAIS,2015,20180
MINAS GERAIS,2016,34087
MINAS GERAIS,2017,39685
MINAS GERAIS,2018,19036
MINAS GERAIS,2019,46730
MINAS GERAIS,2020,69330
MINAS GERAIS,2021,78515
MINAS GERAIS,2022,34806
MINAS GERAIS,2023,32030
MINAS GERAIS,2024,97303
MINAS GERAIS,2025,60522
SÃO PAULO,2000,3866
SÃO PAULO,2001,6900
SÃO PAULO,2002,11240
SÃO PAULO,2003,14835
SÃO PAULO,2004,13822
SÃO PAULO,2005,16804
SÃO PAULO,2006,25749
SÃO PAULO,2007,26859
SÃO PAULO,2008,21260
SÃO PAULO,2009,15517
SÃO PAULO,2010,38154
SÃO PAULO,2011,28127
SÃO PAULO,2012,42777
SÃO PAULO,2013,35828
SÃO PAULO,2014,43453
SÃO PAULO,2015,18576
SÃO PAULO,2016,26941
SÃO PAULO,2017,40532
SÃO PAULO,2018,28659
SÃO PAULO,2019,44904
SÃO PAULO,2020,95008
SÃO PAULO,2021,108537
SÃO PAULO,2022,30673
SÃO PAULO,2023,28996
SÃO PAULO,2024,172906
SÃO PAULO,2025,45489
